#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
28448351|2021-09-28T19:05:37.670000|45.7682|11.0275|11.5|SURVEY-INGV||||ML|2.9|--|2 km NE Ala (TN)|earthquake
28455251|2021-09-29T14:20:38.820000|45.9427|12.0142|10.6|BULLETIN-INGV||||Mw|3.3|--|5 km NE Valdobbiadene (TV)|earthquake
28469801|2021-10-01T02:20:57.550000|44.6663|9.401|7.2|SURVEY-INGV||||ML|2.2|--|4 km E Cerignale (PC)|earthquake
28478541|2021-10-02T02:19:59.640000|44.8627|11.2132|4.2|SURVEY-INGV||||ML|2.1|--|6 km E San Felice sul Panaro (MO)|earthquake
28488041|2021-10-02T23:36:18.620000|44.5445|9.0225|9.3|SURVEY-INGV||||ML|2.2|--|2 km E Casella (GE)|earthquake
28496591|2021-10-04T04:09:31.500000|45.9978|7.5103|10.6|SURVEY-INGV||||ML|2.5|--|Confine Italia-Svizzera (SVIZZERA)|earthquake
28506801|2021-10-05T00:43:20.140000|44.678|9.4232|7.6|SURVEY-INGV||||ML|2.0|--|5 km SE Corte Brugnatella (PC)|earthquake
28510141|2021-10-05T05:39:24.410000|45.9647|7.4997|8.5|BULLETIN-INGV||||ML|3.9|--|Confine Italia-Svizzera (SVIZZERA)|earthquake
28510391|2021-10-05T05:41:43.550000|45.9907|7.5025|10.4|SURVEY-INGV||||ML|2.3|--|Confine Italia-Svizzera (SVIZZERA)|earthquake
28549491|2021-10-09T22:40:43.800000|45.96|7.5188|4.0|SURVEY-INGV||||ML|2.3|--|12 km NE Bionaz (AO)|earthquake
28562331|2021-10-11T23:18:20.950000|45.3188|9.2957|34.5|SURVEY-INGV||||ML|3.0|--|2 km NW Bascapè (PV)|earthquake
28568981|2021-10-13T01:51:01.580000|44.6268|9.9575|26.5|SURVEY-INGV||||ML|2.1|--|2 km NW Solignano (PR)|earthquake
28638111|2021-10-17T05:56:09.460000|44.9562|11.1067|6.0|SURVEY-INGV||||ML|2.2|--|2 km SE San Giovanni del Dosso (MN)|earthquake
28661081|2021-10-19T12:03:18.630000|44.6887|12.68|21.3|SURVEY-INGV||||ML|2.5|--|Costa Ferrarese (Ferrara)|earthquake
28665061|2021-10-20T00:09:23.550000|44.6823|9.4482|2.3|SURVEY-INGV||||ML|2.2|--|6 km NW Ferriere (PC)|earthquake
28674931|2021-10-20T19:26:42.930000|44.6327|10.4952|28.0|BULLETIN-INGV||||ML|2.4|--|2 km E Quattro Castella (RE)|earthquake
28681781|2021-10-21T09:24:26.330000|45.6392|10.316|7.8|SURVEY-INGV||||ML|2.7|--|3 km N Caino (BS)|earthquake
28728051|2021-10-26T04:42:16.310000|44.6743|11.2993|26.0|SURVEY-INGV||||ML|2.1|--|1 km S Castello d'Argile (BO)|earthquake
28749501|2021-10-29T00:31:35.120000|45.204|10.2647|8.6|SURVEY-INGV||||ML|2.2|--|2 km NE Pessina Cremonese (CR)|earthquake
28757191|2021-10-29T15:47:03.760000|44.9032|11.5582|6.5|SURVEY-INGV||||ML|2.2|--|3 km SW Occhiobello (RO)|earthquake
28853771|2021-11-06T23:29:06.500000|44.7832|10.6622|17.7|SURVEY-INGV||||ML|2.1|--|2 km NW Bagnolo in Piano (RE)|earthquake
28859381|2021-11-07T15:41:47.930000|45.6093|9.9073|13.8|SURVEY-INGV||||ML|2.2|--|2 km NE Palazzolo sull'Oglio (BS)|earthquake
28866491|2021-11-08T15:13:29.550000|44.6682|10.3428|23.7|SURVEY-INGV||||ML|2.1|--|4 km NE Lesignano de' Bagni (PR)|earthquake
28914311|2021-11-16T00:24:53.210000|45.5427|11.5592|7.9|SURVEY-INGV||||ML|2.7|--|1 km SE Vicenza (VI)|earthquake
28921531|2021-11-17T07:54:18.610000|45.6333|10.6617|8.8|SURVEY-INGV||||ML|3.0|--|3 km NW Torri del Benaco (VR)|earthquake
29037401|2021-11-30T23:23:32.150000|44.9108|11.2403|10.3|SURVEY-INGV||||ML|2.0|--|10 km NW Finale Emilia (MO)|earthquake
29049851|2021-12-01T22:58:19.820000|44.8233|9.9387|6.3|SURVEY-INGV||||ML|2.1|--|3 km W Salsomaggiore Terme (PR)|earthquake
29177461|2021-12-14T09:58:27.690000|45.8178|11.2873|11.4|SURVEY-INGV||||ML|2.3|--|1 km SE Laghi (VI)|earthquake
29205101|2021-12-17T02:10:42.440000|45.8402|11.008|13.1|SURVEY-INGV||||ML|2.1|--|3 km E Mori (TN)|earthquake
29226401|2021-12-18T10:34:47.300000|45.6448|9.5897|31.2|BULLETIN-INGV||||Mw|3.9|--|1 km W Dalmine (BG)|earthquake
29227191|2021-12-18T10:57:37.870000|45.6165|9.5805|24.9|SURVEY-INGV||||ML|2.2|--|1 km W Osio Sotto (BG)|earthquake
29245531|2021-12-19T07:44:23.850000|45.8633|9.7368|43.9|SURVEY-INGV||||ML|2.0|--|1 km SE Serina (BG)|earthquake
29259741|2021-12-20T23:35:59.160000|45.8993|10.8985|13.2|SURVEY-INGV||||ML|2.1|--|2 km SE Arco (TN)|earthquake
29268121|2021-12-22T05:17:17.500000|45.3197|9.4583|23.4|SURVEY-INGV||||ML|2.2|--|2 km S Montanaso Lombardo (LO)|earthquake
29344621|2021-12-28T17:29:56.580000|44.7555|9.9122|31.0|SURVEY-INGV||||ML|2.4|--|3 km NW Pellegrino Parmense (PR)|earthquake
29344721|2021-12-28T17:31:07.010000|44.8013|9.9468|32.8|SURVEY-INGV||||ML|3.3|--|3 km SW Salsomaggiore Terme (PR)|earthquake
29345021|2021-12-28T18:30:13.030000|44.7822|10.0317|22.8|SURVEY-INGV||||ML|2.0|--|6 km SE Salsomaggiore Terme (PR)|earthquake
29347511|2021-12-29T03:07:45.580000|44.8013|10.0378|7.1|SURVEY-INGV||||ML|2.2|--|5 km E Salsomaggiore Terme (PR)|earthquake
29451241|2022-01-09T01:24:25.300000|44.6542|9.4188|1.5|SURVEY-INGV||||ML|2.0|--|6 km E Cerignale (PC)|earthquake
