#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
27016301|2021-06-14T12:30:14.300000|43.5083|12.0825|8.6|BULLETIN-INGV||||ML|2.4|--|3 km W Citerna (PG)|earthquake
27175481|2021-06-21T23:41:07.000000|44.1592|9.9478|8.1|BULLETIN-INGV||||ML|2.0|--|3 km E Santo Stefano di Magra (SP)|earthquake
27209981|2021-06-23T15:30:57.420000|44.2232|9.8097|9.3|BULLETIN-INGV||||ML|2.5|--|3 km SW Calice al Cornoviglio (SP)|earthquake
27300801|2021-06-29T00:35:24.510000|44.4505|9.7768|71.1|BULLETIN-INGV||||ML|2.2|--|4 km S Borgo Val di Taro (PR)|earthquake
27502871|2021-07-11T10:56:21.680000|44.4792|12.8108|32.6|BULLETIN-INGV||||ML|4.0|--|Costa Ravennate (Ravenna)|earthquake
27503631|2021-07-11T11:47:33.760000|44.1517|12.2867|21.4|BULLETIN-INGV||||ML|2.0|--|4 km E Cesena (FC)|earthquake
27561901|2021-07-15T07:47:23.070000|44.1152|11.7282|28.5|BULLETIN-INGV||||ML|2.0|--|4 km NW Tredozio (FC)|earthquake
27728121|2021-07-29T13:30:16.900000|43.5332|12.2285|9.1|BULLETIN-INGV||||ML|2.1|--|4 km E San Giustino (PG)|earthquake
27733611|2021-07-30T03:15:26.220000|43.547|12.6823|36.0|BULLETIN-INGV||||ML|2.5|--|3 km E Cagli (PU)|earthquake
27733791|2021-07-30T03:49:56.950000|43.5713|12.6988|37.3|BULLETIN-INGV||||ML|2.2|--|5 km NE Cagli (PU)|earthquake
27752121|2021-07-31T15:18:48.490000|44.0052|13.1347|17.9|BULLETIN-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
27774711|2021-08-01T18:30:36.000000|44.265|11.1568|8.8|BULLETIN-INGV||||ML|2.2|--|1 km NE Grizzana Morandi (BO)|earthquake
27852001|2021-08-07T00:12:12.750000|43.7567|13.4522|6.2|BULLETIN-INGV||||ML|3.2|--|Costa Marchigiana Anconetana (Ancona)|earthquake
27881371|2021-08-08T20:10:38.330000|43.9863|13.1273|10.3|BULLETIN-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
27886311|2021-08-09T10:22:40.810000|43.9575|13.143|10.0|BULLETIN-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
27918901|2021-08-11T18:56:19.920000|43.9952|13.1398|10.3|BULLETIN-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
27921011|2021-08-12T04:42:29.760000|44.2277|11.954|24.1|BULLETIN-INGV||||ML|2.2|--|6 km N Castrocaro Terme e Terra del Sole (FC)|earthquake
27944851|2021-08-13T21:58:44.530000|43.961|13.1195|11.6|BULLETIN-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
27945161|2021-08-13T22:36:27.820000|43.7968|12.5955|38.5|BULLETIN-INGV||||ML|2.5|--|3 km SE Auditore (PU)|earthquake
27987661|2021-08-17T00:07:21.250000|43.7223|13.2413|10.5|BULLETIN-INGV||||ML|2.4|--|Costa Marchigiana Anconetana (Ancona)|earthquake
28001191|2021-08-18T10:13:01.910000|44.2172|11.9522|22.9|BULLETIN-INGV||||ML|2.1|--|4 km N Castrocaro Terme e Terra del Sole (FC)|earthquake
28008151|2021-08-19T03:49:22.160000|44.3567|10.9713|25.3|BULLETIN-INGV||||Mw|3.3|--|2 km NW Zocca (MO)|earthquake
28064021|2021-08-23T23:04:03.790000|43.9458|13.0967|10.3|BULLETIN-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
28066191|2021-08-24T07:24:27.330000|43.9567|13.1003|10.2|BULLETIN-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
28067071|2021-08-24T09:01:02.870000|43.9672|13.1277|10.4|BULLETIN-INGV||||ML|2.4|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
28149761|2021-08-31T22:36:58.610000|43.9762|11.7737|7.0|BULLETIN-INGV||||ML|2.6|--|Premilcuore (FC)|earthquake
28158941|2021-09-01T15:49:17.100000|43.9782|11.7722|7.5|SURVEY-INGV||||ML|2.4|--|Premilcuore (FC)|earthquake
28163681|2021-09-01T22:09:32.210000|43.8597|11.8373|7.2|SURVEY-INGV||||ML|2.0|--|11 km W Bagno di Romagna (FC)|earthquake
28170321|2021-09-02T13:22:55.780000|44.2208|10.228|11.1|SURVEY-INGV||||ML|2.1|--|5 km E Casola in Lunigiana (MS)|earthquake
28212921|2021-09-07T01:52:03.200000|44.1267|10.8593|13.6|SURVEY-INGV||||ML|2.1|--|5 km SW Lizzano in Belvedere (BO)|earthquake
28213681|2021-09-07T02:45:20.810000|44.1327|10.8602|10.3|SURVEY-INGV||||ML|2.3|--|4 km SW Lizzano in Belvedere (BO)|earthquake
28214361|2021-09-07T03:39:37.480000|44.1255|10.8597|10.2|SURVEY-INGV||||ML|2.1|--|5 km SW Lizzano in Belvedere (BO)|earthquake
